doc_id,model,criterion,score_trial_1,score_trial_2,score_trial_3,score_trial_4,score_trial_5,mean_score,std_dev_score,has_outlier,overall_average_score
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Citation Format Consistency,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Citation Format Consistency,3.0,2.0,4.0,3.0,3.0,3.0,0.7071067811865476,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Completeness / Coverage,4.0,4.0,4.0,4.0,4.0,4.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Completeness / Coverage,5.0,5.0,5.0,4.0,5.0,4.8,0.4472135954999579,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Factual Accuracy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Factual Accuracy,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Hierarchy & Heading Consistency,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Hierarchy & Heading Consistency,5.0,5.0,5.0,4.0,5.0,4.8,0.4472135954999579,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,gemini-2.5-flash-preview-05-20,Logical Organization,4.0,4.0,4.0,4.0,5.0,4.2,0.44721359549995787,False,4.533333333333333
research_report_16999b23-cbe6-4cf3-a669-680864330ad2,o4-mini-2025-04-16,Logical Organization,5.0,5.0,5.0,5.0,5.0,5.0,0.0,False,4.533333333333333
